16
0,2,0,0,C,0,7,0,E,0,8,0,0,0,B,G
F,0,0,0,0,6,0,0,7,0,0,0,0,3,0,5
E,G,3,D,0,4,0,B,6,0,C,0,9,7,0,0
7,0,0,0,0,5,0,0,1,2,9,G,0,6,0,0
0,6,C,0,0,A,0,0,0,0,E,0,B,4,0,0
0,0,2,0,0,0,0,7,A,0,4,3,0,0,G,6
0,0,4,0,8,B,0,C,0,0,2,0,5,0,E,9
9,0,7,A,0,0,6,0,C,0,F,B,0,0,2,0
0,0,0,0,0,0,4,0,0,0,0,0,7,9,A,3
3,5,8,9,0,0,0,2,4,0,A,C,1,0,0,F
4,B,0,0,7,0,0,0,8,9,D,E,0,2,0,0
0,1,E,0,9,0,5,F,2,0,3,0,0,0,4,0
2,0,0,0,0,9,0,5,0,4,7,D,0,0,F,0
C,3,0,0,D,0,0,4,0,0,0,0,0,B,7,0
0,9,0,0,6,0,0,3,0,0,0,0,A,5,D,0
D,0,5,E,1,G,0,0,B,0,0,0,0,C,0,0
